LVR Name,PPP Name,PPP Part No - Pin No (Src/Ret),LVR Surface,Cable Pair Wire.A / Wire.B (Src/Ret)
Alpha,,,LV1.2 (no) (J12/J13) (ChS/ChR),
PT_b_alpha_X2M_P1W_LV_SRC/RET,JP8_JPU2_P1W_LV_Source/Return,P4 - 1/9,8 - J13 - 8/7,W1.BLUE / W1.GREEN
PT_b_alpha_X2M_P2E_LV_SRC/RET,JP8_JPU2_P2E_LV_Source/Return,P4 - 2/10,5 - J12 - 6/5,W2.2 / W2.1
PT_b_alpha_X2M_P3_LV_SRC/RET,JP8_JPU2_P3_LV_Source/Return,P4 - 3/11,3 - J13 - 8/7,W3.4 / W3.3
PT_b_alpha_X2S_P1W_LV_SRC/RET,JP9_JPU2_P1W_LV_Source/Return,P4 - 4/12,5 - J12 - 8/7,W4.6 / W4.5
PT_b_alpha_X2S_P2E_LV_SRC/RET,JP9_JPU2_P2E_LV_Source/Return,P4 - 5/13,3 - J13 - 4/3,W5.8 / W5.7
PT_b_alpha_X2S_P3_LV_SRC/RET,JP9_JPU2_P3_LV_Source/Return,P4 - 6/14,1 - J12 - 2/1,W6.10 / W6.9
PT_b_alpha_X1M_P1W_LV_SRC/RET,JP4_JPU1_P1W_LV_Source/Return,P5 - 1/9,8 - J12 - 8/7,W1.BLUE / W1.GREEN
PT_b_alpha_X1M_P2E_LV_SRC/RET,JP4_JPU1_P2E_LV_Source/Return,P5 - 2/10,5 - J12 - 4/3,W2.2 / W2.1
PT_b_alpha_X1M_P3_LV_SRC/RET,JP4_JPU1_P3_LV_Source/Return,P5 - 3/11,3 - J12 - 6/5,W3.4 / W3.3
PT_b_alpha_X1S_P1W_LV_SRC/RET,JP5_JPU1_P1W_LV_Source/Return,P5 - 4/12,7 - J13 - 8/7,W4.6 / W4.5
PT_b_alpha_X1S_P2E_LV_SRC/RET,JP5_JPU1_P2E_LV_Source/Return,P5 - 5/13,3 - J12 - 2/1,W5.8 / W5.7
PT_b_alpha_X1S_P3_LV_SRC/RET,JP5_JPU1_P3_LV_Source/Return,P5 - 6/14,1 - J12 - 4/3,W6.10 / W6.9
PT_b_alpha_X0M_P1W_LV_SRC/RET,JP0_JPU0_P1W_LV_Source/Return,P6 - 1/9,8 - J13 - 4/3,W1.BLUE / W1.GREEN
PT_b_alpha_X0M_P2E_LV_SRC/RET,JP0_JPU0_P2E_LV_Source/Return,P6 - 2/10,5 - J12 - 2/1,W2.2 / W2.1
PT_b_alpha_X0M_P3_LV_SRC/RET,JP0_JPU0_P3_LV_Source/Return,P6 - 3/11,3 - J12 - 8/7,W3.4 / W3.3
PT_b_alpha_X0S_P1W_LV_SRC/RET,JP1_JPU0_P1W_LV_Source/Return,P6 - 4/12,7 - J13 - 4/3,W4.6 / W4.5
PT_b_alpha_X0S_P2E_LV_SRC/RET,JP1_JPU0_P2E_LV_Source/Return,P6 - 5/13,7 - J12 - 8/7,W5.8 / W5.7
PT_b_alpha_X0S_P3_LV_SRC/RET,JP1_JPU0_P3_LV_Source/Return,P6 - 6/14,3 - J12 - 4/3,W6.10 / W6.9
PT_b_alpha_X0M_P4_LV_SRC/RET,JP0_JPU0_P4_LV_Source/Return,P19 1/9,1 - J12 - 8/7,W1.BLUE / W1.GREEN
PT_b_alpha_X1M_P4_LV_SRC/RET,JP4_JPU1_P4_LV_Source/Return,P19 - 2/10,1 - J12 - 6/5,W2.2 / W2.1
PT_b_alpha_X2M_P4_LV_SRC/RET,JP8_JPU2_P4_LV_Source/Return,P19 - 3/11,1 - J13 - 8/7,W3.4 / W3.3
PT_b_alpha_X0S_P4_LV_SRC/RET,JP1_JPU0_P4_LV_Source/Return,P19 - 5/13,1 - J13 - 4/3,W5.7/W5.8
PT_b_alpha_X0S_P2W_LV_SRC/RET,JP1_JPU0_P2W_LV_Source/Return,P5 - 7/15,7 - J12 - 6/5,W1.BLUE / W1.GREEN
PT_b_alpha_X1S_P1E_LV_SRC/RET,JP5_JPU1_P1E_LV_Source/Return,P5 - 8/16,7 - J13 - 6/5,W2.2 / W2.1
PT_b_alpha_X0M_P1E_LV_SRC/RET,JP0_JPU0_P1E_LV_Source/Return,P6 - 7/15,8 - J13 - 2/1,W3.4 / W3.3
PT_b_alpha_X0S_P1E_LV_SRC/RET,JP1_JPU0_P1E_LV_Source/Return,P6 - 8/16,7 - J13 - 2/1,W4.6 / W4.5
PT_b_alpha_X1M_P1E_LV_SRC/RET,JP4_JPU1_P1E_LV_Source/Return,P4 - 7/15,8 - J12 - 6/5,W5.8 / W5.7
