Gamma,,,,C Bot Mag Mirror,,,,,,Beta,,,,C Bot Mag Mirror,,,,,,Alpha,,,,C Bot Mag Mirror,,,,
PPP Location,Telemetry Board Location,Length (cm),Label (Black shell),Cut,Mini I/O,Label,RJ45,Checked,,PPP Location,Telemetry Board Location,Length (cm),Label (blue shell),Cut,Mini I/O,Label,RJ45,Checked,,PPP Location,Telemetry Board Location,Length (cm),Label (red shell),Cut,Mini I/O,Label,RJ45,Checked
A23,J21,97,A23-J21-1.2-8U,,,,,,,B10,J18,85,B10-J18-1.2-5U,,,,,,,I11,J15,125,I11-J15-1.2-2U,,,,,
A22,J18,95,A22-J18-1.2-5U,,,,,,,B8,J16,88,B8-J16-1.2-3U,,,,,,,I10,J8,130,I10-J8-1.2-8X,,,,,
A21,J17,?,A21-J17-1.2-4U,,,,,,,A6,J14,88,A6-J14-1.2-1U,,,,,,,I9,J1,135,I9-J1-1.2-1X,,,,,
A20,J16,92,A20-J16-1.2-3U,,,,,,,A5,J12,85,A5-J12-2.5-1,,,,,,,H11,J16,122,H11-J16-1.2-3U,,,,,
A19,J15,92,A19-J15-1.2-2U,,,,,,,A4,J10,87,A4-J10-1.5-2,,,,,,,H10,J9,130,H10-J9-1.5-1,,,,,
A18,J14,90,A18-J14-1.2-1U,,,,,,,A3,J8,87,A3-J8-1.2-8X,,,,,,,H9,J2,135,H9-J2-1.2-2X,,,,,
A17,J13,90,A17-J13-2.5-2,,,,,,,B11,J21,88,B11-J21-1.2-8U,,,,,,,G11,J17,122,G11-J17-1.2-4U,,,,,
A16,J12,?,A16-J12-2.5-1,,,,,,,B9,J17,90,B9-J17-1.2-4U,,,,,,,G10,J10,130,G10-J10-1.5-2,,,,,
A15,J11,90,A15-J11-1.5-3,,,,,,,B7,J15,95,B7-J15-1.2-2U,,,,,,,G9,J3,135,G9-J3-1.2-3X,,,,,
A14,J10,?,A14-J10-1.5-2,,,,,,,B6,J13,97,B6-J13-2.5-2,,,,,,,F11,J18,122,F11-J18-1.2-5U,,,,,
A13,J9,97,A13-J9-1.5-1,,,,,,,B5,J11,100,B5-J11-1.5-3,,,,,,,F10,J11,125,F10-J11-1.5-3,,,,,
A12,J8,97,A12-J8-1.2-8X,,,,,,,B4,J9,85,B4-J9-1.5-1,,,,,,,F9,J4,133,F19-J4-1.2-4X,,,,,
A11,J5,75,A11-J5-1.2-5X,,,,,,,B3,J5,90,B3-J7-1.2-5X,,,,,,,E11,J19,122,E11-J19-1.2-6U,,,,,
A10,J4,?,A10-J4-1.2-4X,,,,,,,A2,J4,90,A2-J4-1.2-4X,,,,,,,E10,J12,125,E10-J12-2.5-1,,,,,
A9,J3,72,A9-J3-1.2-3X,,,,,,,B2,J3,92,B2-J3-1.2-3X,,,,,,,E9,J5,133,E9-J5-1.2-5X,,,,,
A8,J2,75,A8-J2-1.2-2X,,,,,,,A1,J2,97,A1-J2-1.2-2X,,,,,,,D11,J20,122,D11-J20-1.2-7U,,,,,
A7,J1,75,A7-J1-1.2-1X,,,,,,,B1,J1,100,B1-J1-1.2-1X,,,,,,,D10,J13,125,D10-J13-2.5-2,,,,,
,,,,,,,,,,,,,,,,,,,,D9,J6,130,D9-J6-1.2-6X,,,,,
,,,,,,,,,,,,,,,,,,,,C11,J21,120,C11-J21-1.2-8U,,,,,
,,,,,,,,,,,,,,,,,,,,C10,J14,125,C10-J14-1.2-1U,,,,,
,,,,,,,,,,,,,,,,,,,,C9,J7,130,C9-J12-1.2-7X,,,,,
